date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:08:56	218460/218460	---M-Z	200	added ('OK')	text/html	etag:%223555c-6258aae8923e1-gzip%22	https://themesbrand.com/velzon/html/master/forms-file-uploads.html	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/forms-file-uploads.html	(from )
13:08:56	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-607430e6e63c6%22	https://themesbrand.com/robots.txt		(from )
13:08:57	113853/113853	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221bcbd-60db4fd109799%22	https://themesbrand.com/velzon/html/master/assets/images/favicon.ico	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/images/favicon.ico	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:57	4772/4772	---M-Z	200	added ('OK')	text/css	etag:%2212a4-60db4fd16257e-gzip%22	https://themesbrand.com/velzon/html/master/assets/libs/dropzone/dropzone.css	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/libs/dropzone/dropzone.css	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:57	17447/17447	---M-Z	200	added ('OK')	text/css	etag:%224427-60db4fd19bf62-gzip%22	https://themesbrand.com/velzon/html/master/assets/libs/filepond/filepond.min.css	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/libs/filepond/filepond.min.css	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:57	3307/3307	---M-Z	200	added ('OK')	text/css	etag:%22ceb-60db4fd19afc2-gzip%22	https://themesbrand.com/velzon/html/master/assets/libs/filepond-plugin-image-preview/filepond-plugin-image-preview.min.css	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/libs/filepond-plugin-image-preview/filepond-plugin-image-preview.min.css	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:57	1357/1357	---M-Z	200	added ('OK')	application/javascript	etag:%2254d-60db4fd11fefa-gzip%22	https://themesbrand.com/velzon/html/master/assets/js/layout.js	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/js/layout.js	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:57	283699/283699	---M-Z	200	added ('OK')	text/css	etag:%2245433-6258aae7f500a-gzip%22	https://themesbrand.com/velzon/html/master/assets/css/bootstrap.min.css	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/css/bootstrap.min.css	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:58	607127/607127	---MCZ	200	added ('OK')	text/css	etag:%2294397-60db4fd0ec2d7-gzip%22	https://themesbrand.com/velzon/html/master/assets/css/icons.min.css	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/css/icons.min.css	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:58	441822/441822	---M-Z	200	added ('OK')	text/css	etag:%226bdde-6258aae7f4069-gzip%22	https://themesbrand.com/velzon/html/master/assets/css/app.min.css	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/css/app.min.css	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:58	44/44	---M--	200	added ('OK')	text/css	etag:%222c-60db4fd0ec2d7%22	https://themesbrand.com/velzon/html/master/assets/css/custom.min.css	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/css/custom.min.css	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:58	321326/321326	---M-Z	200	added ('OK')	text/html	etag:%224e72e-6258aae89c024-gzip%22	https://themesbrand.com/velzon/html/master/index.html	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/index.html	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:58	7222/7222	---M--	200	added ('OK')	image/png	etag:%221c36-60db4fd112439%22	https://themesbrand.com/velzon/html/master/assets/images/logo-sm.png	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/images/logo-sm.png	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:59	3960/3960	---M--	200	added ('OK')	image/png	etag:%22f78-60db4fd112439%22	https://themesbrand.com/velzon/html/master/assets/images/logo-dark.png	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/images/logo-dark.png	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:59	3722/3722	---M--	200	added ('OK')	image/png	etag:%22e8a-60db4fd112439%22	https://themesbrand.com/velzon/html/master/assets/images/logo-light.png	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/images/logo-light.png	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:59	17336/17336	---M--	200	added ('OK')	image/jpeg	etag:%2243b8-60db4fd11ef5a%22	https://themesbrand.com/velzon/html/master/assets/images/users/avatar-2.jpg	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/images/users/avatar-2.jpg	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:08:59	11267/11267	---M--	200	added ('OK')	image/jpeg	etag:%222c03-60db4fd11ef5a%22	https://themesbrand.com/velzon/html/master/assets/images/users/avatar-3.jpg	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/images/users/avatar-3.jpg	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:09:00	11561/11561	---M--	200	added ('OK')	image/jpeg	etag:%222d29-60db4fd11ef5a%22	https://themesbrand.com/velzon/html/master/assets/images/users/avatar-5.jpg	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/images/users/avatar-5.jpg	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:09:00	318197/318197	---M-Z	200	added ('OK')	text/html	etag:%224daf5-6258aae8a1de6-gzip%22	https://themesbrand.com/velzon/html/master/pages-search-results.html	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/pages-search-results.html	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:09:00	16289/16289	---M--	200	added ('OK')	image/svg+xml	etag:%223fa1-60db4fd10e5b9%22	https://themesbrand.com/velzon/html/master/assets/images/flags/us.svg	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/images/flags/us.svg	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:09:00	5913/5913	---M--	200	added ('OK')	image/svg+xml	etag:%221719-60db4fd10e5b9%22	https://themesbrand.com/velzon/html/master/assets/images/flags/spain.svg	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/images/flags/spain.svg	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
13:09:01	690/690	---M--	200	added ('OK')	image/svg+xml	etag:%222b2-60db4fd10b6d9%22	https://themesbrand.com/velzon/html/master/assets/images/flags/germany.svg	D:/Dowload/DashboardVer2/DashboardVer2/themesbrand.com/velzon/html/master/assets/images/flags/germany.svg	(from https://themesbrand.com/velzon/html/master/forms-file-uploads.html)
